qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,579602,53905,633507
fc_a_001,ABD,5336,158,5494
fc_a_002,ABD,5398,186,5584
fc_a_003,A,3852,427,4279
fc_a_004,AD,8271,164,8435
fc_a_005,ABD,6983,189,7172
fc_a_006,A,4380,540,4920
fc_a_007,BD,8390,280,8670
fc_a_008,B,5804,871,6675
fc_a_009,ABD,7776,134,7910
fc_a_010,A,3274,496,3770
fc_a_011,AB,5597,129,5726
fc_a_012,ACD,6504,175,6679
fc_a_013,A,4285,636,4921
fc_a_014,B,7192,430,7622
fc_a_015,A,5911,2544,8455
fc_a_016,ABC,6382,104,6486
fc_a_017,ABD,6933,184,7117
fc_a_018,A,4149,465,4614
fc_a_019,AB,6992,147,7139
fc_a_020,AB,5446,155,5601
fin_a_001,AB,7051,293,7344
fin_a_002,ABD,9424,270,9694
fin_a_003,A,8091,480,8571
fin_a_004,ABD,10033,231,10264
fin_a_005,BD,7975,276,8251
fin_a_006,B,5752,1805,7557
fin_a_007,ABD,8472,243,8715
fin_a_008,D,7404,4531,11935
fin_a_009,ABC,6916,227,7143
fin_a_010,A,8844,589,9433
fin_a_011,ACD,9857,303,10160
fin_a_012,ABD,8761,416,9177
fin_a_013,A,7951,1065,9016
fin_a_014,AB,10316,308,10624
fin_a_015,A,8565,3376,11941
fin_a_016,ABD,8699,154,8853
fin_a_017,AC,10733,180,10913
fin_a_018,A,6837,656,7493
fin_a_019,AB,10401,174,10575
fin_a_020,AB,7390,227,7617
ins_a_001,B,4571,2610,7181
ins_a_002,A,3802,1533,5335
ins_a_003,A,4558,1995,6553
ins_a_004,A,5590,1211,6801
ins_a_005,BCD,5793,252,6045
ins_a_006,A,4609,2129,6738
ins_a_007,BC,5755,154,5909
ins_a_008,AC,6214,170,6384
ins_a_009,C,5475,174,5649
ins_a_010,AB,6862,159,7021
ins_a_011,BC,5898,126,6024
ins_a_012,A,7372,119,7491
ins_a_013,A,4813,860,5673
ins_a_014,ABD,7129,368,7497
ins_a_015,AB,6245,153,6398
ins_a_016,CD,6580,221,6801
ins_a_017,ABCD,5375,118,5493
ins_a_018,BCD,6263,208,6471
ins_a_019,ABCD,5094,111,5205
ins_a_020,D,5121,1607,6728
reg_a_001,ACD,3159,249,3408
reg_a_002,ABC,2746,174,2920
reg_a_003,B,2657,2009,4666
reg_a_004,ABC,3767,182,3949
reg_a_005,ABC,3405,243,3648
reg_a_006,A,2271,570,2841
reg_a_007,ACD,3286,142,3428
reg_a_008,A,3285,1018,4303
reg_a_009,ABD,4018,229,4247
reg_a_010,B,3145,992,4137
reg_a_011,ACD,4038,359,4397
reg_a_012,ABD,3120,169,3289
reg_a_013,A,2659,378,3037
reg_a_014,ABD,2843,149,2992
reg_a_015,C,1928,745,2673
reg_a_016,ABD,3366,173,3539
reg_a_017,ABC,3294,161,3455
reg_a_018,A,2757,353,3110
reg_a_019,ABD,3869,147,4016
reg_a_020,ABD,3369,170,3539
res_a_001,ABC,6642,156,6798
res_a_002,ABC,7729,137,7866
res_a_003,A,5897,1106,7003
res_a_004,ABC,6974,121,7095
res_a_005,ABC,6427,137,6564
res_a_006,B,5854,639,6493
res_a_007,ABC,5391,179,5570
res_a_008,A,4370,603,4973
res_a_009,ABC,5220,142,5362
res_a_010,A,4476,310,4786
res_a_011,BC,5269,133,5402
res_a_012,ABC,4659,151,4810
res_a_013,B,5575,515,6090
res_a_014,ABC,6142,123,6265
res_a_015,A,4637,573,5210
res_a_016,ACD,6099,205,6304
res_a_017,ABD,6219,159,6378
res_a_018,A,5947,1117,7064
res_a_019,AB,4629,136,4765
res_a_020,ABCD,7018,155,7173
